ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
9780552149518,"Da Vinci Code,The","Brown, Dan",Corgi Books,Transworld Grp,4522025,22857837 53,799,505,Paperback,1 Mar 2004,"F2 1  Crime, Thriller & Adventure"
9780747532743,Harry Potter and the Philosopher's Stone ,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,3844316,19853187 43,699,522,Paperback,26 Jun 1997,Y2 1  Children's Fiction
9780747538486,Harry Potter and the Chamber of Secrets ,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,3184492,16224021 98,699,507,Paperback,1 Apr 1999,Y2 1  Children's Fiction
9780552150736,Angels and Demons ,"Brown, Dan",Corgi Books,Transworld Grp,3096850,15537324 84,799,505,Paperback,1 Jul 2003,"F2 1  Crime, Thriller & Adventure"
9780747551003,Harry Potter and the Order of the Phoenix,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,3043226,33925431 19,1699,1115,Hardback,21 Jun 2003,Y2 1  Children's Fiction
9780747581086,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,2947565,28030020 14,1699,951,Hardback,16 Jul 2005,Y2 1  Children's Fiction
9780747591054,Harry Potter and the Deathly Hallows,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,2842059,25028396 3,1799,881,Hardback,21 Jul 2007,Y2 1  Children's Fiction
9780747546290,Harry Potter and the Prisoner of Azkaban ,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,2776314,14140490 93,699,505,Paperback,1 Apr 2000,Y2 1  Children's Fiction
9781904233657,Twilight ,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp",2105862,10148762 73,799,480,Paperback,22 Mar 2007,Y2 2  Young Adult Fiction
9780747550990,Harry Potter and the Goblet of Fire,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,2057397,10745711 77,899,522,Paperback,6 Jul 2001,Y2 1  Children's Fiction
9780552151764,Deception Point ,"Brown, Dan",Corgi Books,Transworld Grp,2018264,10047195 89,799,495,Paperback,1 May 2004,"F2 1  Crime, Thriller & Adventure"
9781904233886,New Moon ,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp",1975659,9425640 57,799,483,Paperback,6 Sep 2007,Y2 2  Young Adult Fiction
9780330457729,"Lovely Bones,The ","Sebold, Alice",Picador,Pan Macmillan Grp,1942042,11561201 71,799,524,Paperback,4 Dec 2009,F1 1  General & Literary Fiction
9780552151696,Digital Fortress ,"Brown, Dan",Corgi Books,Transworld Grp,1911943,9642124 01,799,502,Paperback,5 Mar 2004,"F2 1  Crime, Thriller & Adventure"
9780099450252,"Curious Incident of the Dog in the Night-time,The ","Haddon, Mark",Vintage,Random House Grp,1868969,10196570 23,799,540,Paperback,1 Apr 2004,F1 1  General & Literary Fiction
9781904233916,Eclipse ,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp",1846171,8981704 14,799,486,Paperback,3 Jul 2008,Y2 2  Young Adult Fiction
